Year,Avg_Negativity
2014,0.3535
2015,0.2664864864864865
2016,0.22902222222222224
2017,0.22682666666666668
2018,0.3116511627906977
2019,0.3048551724137931
2020,0.3234436363636364
2021,0.3107514450867052
2022,0.2413169398907104
2023,0.2252054794520548
2024,0.3232101616628175
