Month,Avg_Negativity
January,0.27366917293233084
February,0.289144578313253
March,0.2890074626865672
April,0.25195384615384614
May,0.23918840579710146
June,0.37165116279069765
July,0.3068108108108108
August,0.30367424242424246
September,0.30289732142857145
October,0.3194213649851632
November,0.3254899713467049
December,0.23539175257731956
